URL,Photo Name,Description
https://lichenproject.org/collections/full-library/products/Taylor_Roades_32,Taylor_Roades_32,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_33,Taylor_Roades_33,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_34,Taylor_Roades_34,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_35,Taylor_Roades_35,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_36,Taylor_Roades_36,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_39,Taylor_Roades_39,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_40,Taylor_Roades_40,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_41,Taylor_Roades_41,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_42,Taylor_Roades_42,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_43,Taylor_Roades_43,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_44,Taylor_Roades_44,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
https://lichenproject.org/collections/full-library/products/Taylor_Roades_45,Taylor_Roades_45,"Credit: Lichen, Taylor Roades and territorial acknowledgement to theLheidli T'enneh. Learn more about this photographer. This photo was donated to Lichen."
